,ds,y,view_duration
256,2017-04-11 16:00:00,1596.0,7838533.0
257,2017-04-11 17:00:00,2178.0,10953895.0
258,2017-04-11 18:00:00,1528.0,8156959.0
259,2017-04-11 19:00:00,1628.0,7329131.0
260,2017-04-11 20:00:00,2354.0,12128690.0
261,2017-04-11 21:00:00,2466.0,11986742.0
262,2017-04-11 22:00:00,2060.0,12061553.0
263,2017-04-11 23:00:00,1229.0,4660866.0
264,2017-04-12 00:00:00,1046.0,4736438.0
265,2017-04-12 01:00:00,429.0,1215000.0
266,2017-04-12 02:00:00,207.0,673000.0
267,2017-04-12 03:00:00,113.0,351000.0
268,2017-04-12 04:00:00,403.0,2318000.0
269,2017-04-12 05:00:00,199.0,588000.0
270,2017-04-12 06:00:00,413.0,2689000.0
271,2017-04-12 07:00:00,801.0,4233076.0
272,2017-04-12 08:00:00,1284.0,4854834.0
273,2017-04-12 09:00:00,1387.0,5255694.0
274,2017-04-12 10:00:00,1428.0,5255000.0
275,2017-04-12 11:00:00,1430.0,6645052.0
276,2017-04-12 12:00:00,1767.0,6279016.0
277,2017-04-12 13:00:00,1327.0,7901004.0
278,2017-04-12 14:00:00,1296.0,6707172.0
279,2017-04-12 15:00:00,844.0,2153246.0
280,2017-04-12 16:00:00,1300.0,6494066.0
281,2017-04-12 17:00:00,1085.0,5799311.0
282,2017-04-12 18:00:00,2004.0,7883741.0
283,2017-04-12 19:00:00,1459.0,11046520.0
284,2017-04-12 20:00:00,2846.0,13911924.0
285,2017-04-12 21:00:00,1969.0,16133194.0
286,2017-04-12 22:00:00,1046.0,6264727.0
287,2017-04-12 23:00:00,1266.0,9190257.0
288,2017-04-13 00:00:00,779.0,3124392.0
289,2017-04-13 01:00:00,776.0,3968768.0
290,2017-04-13 02:00:00,107.0,491000.0
291,2017-04-13 03:00:00,0.0,0.0
292,2017-04-13 04:00:00,69.0,370000.0
293,2017-04-13 05:00:00,68.0,1157454.0
294,2017-04-13 06:00:00,329.0,1221450.0
295,2017-04-13 07:00:00,739.0,11269816.0
296,2017-04-13 08:00:00,1068.0,5418967.0
297,2017-04-13 09:00:00,950.0,4111629.0
298,2017-04-13 10:00:00,1013.0,4031307.0
299,2017-04-13 11:00:00,2940.0,14095581.0
300,2017-04-13 12:00:00,1817.0,12807303.0
301,2017-04-13 13:00:00,904.0,6254132.0
302,2017-04-13 14:00:00,1405.0,6145462.0
